id,name,gender,birth,nationality
762,"Blake, John",Male,1945,United States
763,"Blake, Peter",Male,1932,United Kingdom
38,"Blake, Robert",Male,1762,United Kingdom
39,"Blake, William",Male,1757,United Kingdom
764,"Blamey, Norman",Male,1914,United Kingdom
765,"Blanche, Jacques-Emile",Male,1861,
766,"Bland, Beatrice",Female,1864,United Kingdom
767,"Blaymires, Charles Henry",Male,1908,
2759,"Bleckner, Ross",Male,1949,United States
3652,"Blees Luxemburg, Rut",Female,1967,Germany
768,"Bliss, Douglas Percy",Male,1900, Pakistan
769,"Bloch, Martin",Male,1883,United Kingdom
13711,"Blom, Ansuya",Female,1956, Nederland
2229,"Blore, Edward",Male,1789,United Kingdom
770,"Blow, Sandra",Female,1925,United Kingdom
13048,"Bo, Hou",Female,1924,China
771,"Boccioni, Umberto",Male,1882,Italy
772,"Bochner, Mel",Male,1940,United States
773,"Bock, Théophile de",Male,1851, Nederland
774,"Boden, Neville",Male,1929, South Africa
40,"Boehm, Sir Joseph Edgar",Male,1834,Austria
7713,"Boetti, Alighiero",Male,1940,Italy
9822,"Bohm, Dorothy",Female,1924,Germany
775,"Boisvert, Gilles",Male,1940, Canada
2740,"Boitard, Louis Philippe",Male,1734,France
2305,"Boltanski, Christian",Male,1944,France
776,"Bolus, Michael",Male,1934, South Africa
777,"Bomberg, David",Male,1890,United Kingdom
2586,"Bond, Henry",Male,1966,United Kingdom
778,"Bone, Sir Muirhead",Male,1876,
779,"Bone, Stephen",Male,1904,United Kingdom
780,"Bonechi, Lorenzo",Male,1955,Italy
41,"Bonington, Richard Parkes",Male,1802,United Kingdom
781,"Bonnard, Pierre",Male,1867,France
782,"Bontecou, Lee",Female,1931,United States
13195,"Booth, L",,,
2702,"Borland, Christine",Female,1965,United Kingdom
783,"Bornfriend, Jacob",Male,1904,
784,"Borofsky, Jonathan",Male,1942,United States
42,"Borseller, Peter",Male,1644,
785,"Boshier, Derek",Male,1937,United Kingdom
786,"Bosman, Richard",Male,1944,India
787,"Boswell, James",Male,1906, New Zealand
2684,"Boty, Pauline",Female,1938,United Kingdom
43,"Bough, Samuel",Male,1822,United Kingdom
44,"Boughton, George Henry",Male,1833,United Kingdom
788,"Boumans, Bart",Male,1940, Nederland
789,"Bourdelle, Antoine",Male,1861,France
2351,"Bourgeois, Louise",Female,1911,France
2707,"Bourne, James",Male,1773,United Kingdom
790,"Bouvier de Cachard, Comte Régis Guy de",Male,1929,France
4381,"Bowen, Denis",Male,1921, South Africa
45,"Bower, Edward",Male,1629,
791,"Bowey, Olwyn",Female,1936,United Kingdom
46,"Bowler, Henry Alexander",Male,1824,United Kingdom
792,"Bowling, Frank",Male,1936, Guyana
793,"Box, E.",Female,1919,
47,"Boxall, Sir William",Male,1800,United Kingdom
6550,"Boxer, Stanley",Male,1926,United States
48,"Boyce, George Price",Male,1826,United Kingdom
7630,"Boyce, Martin",Male,1967,United Kingdom
794,"Boyce, Sonia",Female,1962,United Kingdom
795,"Boyd and Evans, Fionnuala and Leslie",,1944,
1249,"Boyd Harte, Glynn",Male,1948,United Kingdom
796,"Boyd, Arthur",Male,1920, Australia
797,"Boyle, Mark",Male,1934,United Kingdom
2482,"Boyne, John",Male,1750,United Kingdom
49,"Boys, Thomas Shotter",Male,1803,United Kingdom
50,"Brabazon, Hercules Brabazon",Male,1821,France
8804,"Braden, Norah",Female,1901,United Kingdom
9242,"Bradford, Mark",Male,1961,United States
798,"Bradley, Martin",Male,1931,United Kingdom
51,"Bramley, Frank",Male,1857,United Kingdom
799,"Brammer, Leonard",Male,1906, Nederland
800,"Brancusi, Constantin",Male,1876,Romania
2414,"Brandard, Robert",Male,1805,United Kingdom
9570,"Brandenburg, Ulla von",Female,1974,Germany
2742,"Brandoin, Michael-Vincent Charles",Male,1733,
801,"Brandt, Bill",Male,1904,Germany
802,"Brangwyn, Sir Frank",Male,1867,Belgium
3094,"Branson, Clive",Male,1907,
52,"Branwhite, Nathan",Male,1813,
803,"Braque, Georges",Male,1882,France
11259,Brassai,Male,1899,Romania
804,"Bratby, John",Male,1928,United Kingdom
2719,"Bravo, Manuel Álvarez",Male,1904, México
805,"Breakwell, Ian",Male,1943,United Kingdom
564,"Bree, Rev. William",Male,1754,
806,"Breeze, Claude",Male,1938, Canada
807,"Breton, André",Male,1896,France
808,"Brett, Bernard",Male,1925,
53,"Brett, John",Male,1831,United Kingdom
809,"Brett, The Hon. Dorothy",Female,1883,United Kingdom
54,"Bridell, Frederick Lee",Male,1831,United Kingdom
810,"Bridgewater, Alan",Male,1903,
811,"Briggs, Ernest",Male,1866,United Kingdom
55,"Briggs, Henry Perronet",Male,1791,United Kingdom
2415,"Bright, Henry",Male,1810,
812,"Brill, Frederick",Male,1920,
2671,"Brill, Reginald",Male,1902,United Kingdom
813,"Brisley, Stuart",Male,1933,United Kingdom
2638,British (?) School,,,
61,British (?) School 19th century,,1800,
56,British School 16th century,,1500,
57,British School 17th century,,1600,
58,British School 17th or 18th century,,1600,
59,British School 18th century,,1700,
60,British School 19th century,,1800,
2548,British School 20th century,,1900,
62,"Brock, Sir Thomas",Male,1847,United Kingdom
11347,"Brockhurst, Gerald",Male,1890,United Kingdom
814,"Brodzky, Horace",Male,1885, Australia
11761,"Bronstein, Pablo",Male,1977, Argentina
815,"Broodthaers, Marcel",Male,1924,Belgium
816,"Brook, Peter",Male,1927,United Kingdom
63,"Brooke, William Henry",Male,1772,United Kingdom
817,"Brooker, William",Male,1918,United Kingdom
64,"Brooking, Charles",Male,1723,United Kingdom
818,"Brooks, James",Male,1906,United States
10428,"Broom, Christina",,1863,
16107,"Broomberg, Adam",Male,1970, South Africa
819,"Brough, Robert",Male,1872,United Kingdom
820,"Brough, Romey",Female,1944,
8785,"Brouwn, Stanley",Male,1935, Nederland
2703,"Brown, Cecily",Female,1969,
2587,"Brown, Don",Male,1962,United Kingdom
65,"Brown, Ford Madox",Male,1821,France
66,"Brown, Frederick",Male,1851,United Kingdom
67,"Brown, Kellock",Male,1856,United Kingdom
822,"Brown, Mortimer",Male,1874,United Kingdom
823,"Brown, Ralph",Male,1928,United Kingdom
821,"Brown, Sir Arnesby",Male,1866,United Kingdom
2562,"Browne, Hablot Knight",Male,1815,United Kingdom
824,"Browne, Henriette",Female,1829,France
11982,"Bruguera, Tania",Female,1968, Cuba
825,"Brundrit, Reginald",Male,1883,United Kingdom
3824,"Brunias, Agostino",Male,1730,
2264,"Brüning, Peter",Male,1929,Germany
826,"Brunsdon, John",Male,1933,United Kingdom
827,"Brus, Günter",Male,1938,Austria
14432,"Bruscky, Paulo",Male,1949, Brasil
11951,"Bruton, Jo",Female,1967,United Kingdom
9098,"Bryce, Fernando",Male,1965, Perú
2738,"Buchanan, Roderick",Male,1965,United Kingdom
2276,"Buchheister, Carl",Male,1890,Germany
14637,"Buchler, Pavel",Male,1952,Ceská Republika
2483,"Buck, Adam",Male,1759,United Kingdom
11696,"Buckingham, Matthew",Male,1963,United States
828,"Buckley, Stephen",Male,1944,United Kingdom
829,"Buffet, Bernard",Male,1928,France
830,"Buhler, Robert",Male,1916,United Kingdom
9058,"Bulloch, Angela",Female,1966, Canada
2550,"Bunbury, Charles",Male,,
2416,"Bunbury, Henry William",Male,1750,United Kingdom
831,"Bundy, Edgar",Male,1862,United Kingdom
832,"Burchfield, Charles",Male,1893,United States
6319,"Burden, Chris",Male,1946,United States
833,"Buren, Daniel",Male,1938,France
5625,"Burgess, John",Male,,
834,"Burgin, Victor",Male,1941,United Kingdom
835,"Burkert, Robert",Male,1930,United States
836,"Burn, Rodney J.",Male,1899,United Kingdom
68,"Burne-Jones, Sir Edward Coley, Bt",Male,1833,United Kingdom
69,"Burnet, James",Male,1788,United Kingdom
2558,"Burnet, John",Male,1784,United Kingdom
2334,"Burney, Edward Francis",Male,1760,United Kingdom
837,"Burra, Edward",Male,1905,United Kingdom
838,"Burri, Alberto",Male,1915,Italy
972,"Burt (née Dallas), Angela",Female,1946,
839,"Burt, Laurence",Male,1925,United Kingdom
840,"Burton, Scott",Male,1939,United States
70,"Burton, William Shakespeare",Male,1824,United Kingdom
15853,"Burtynsky, Edward",Male,1955, Canada
841,"Bury, Pol",Male,1922,Belgium
842,"Bush, Jack",Male,1909, Canada
843,"Bussy, Simon",Male,1870,France
6992,"Bustamante, Jean-Marc",Male,1952,France
71,"Butler, Elizabeth",Female,1846,Switzerland
72,"Butler, Mildred Anne",Female,1858,Ireland
844,"Butler, Reg",Male,1913,United Kingdom
73,"Butler, Samuel",Male,1835,United Kingdom
2263,"Butts, John",Male,1728,Ireland
74,"Buvelot, Louis",Male,1814,Switzerland
11455,"Byrne, Gerard",Male,1969,Ireland
14505,"Cabrita Reis, Pedro",Male,1956,Portugal
9243,"Cadere, André",Male,1934,Poland
845,"Cage, John",Male,1912,United States
846,"Cahn, Miriam",Female,1949,Switzerland
10611,"Cahun, Claude",Male,1894,France
75,"Cain, Neville",Male,1855,United States
847,"Caiserman-Roth, Ghitta",Female,1923, Canada
76,"Caldecott, Randolph",Male,1846,United Kingdom
848,"Calder, Alexander",Male,1898,United States
77,"Calderon, Philip Hermogenes",Male,1833,France
13491,"Callahan, Harry",Male,1912,United States
78,"Callcott, Sir Augustus Wall",Male,1779,United Kingdom
2692,"Calle, Sophie",Female,1953,France
2396,"Callery, Simon",Male,1960,United Kingdom
849,"Calliyannis, Manolis",Male,1923,Greece
79,"Callow, William",Male,1812,United Kingdom
80,"Calthrop, Claude",Male,1845,
